"user","totalReward"
"0xf11a9c97371f9332c106a33009264e19aa5334ab","63.34798807011920420501"
"0x3754a559d22f321c79a36a4a082cfbbf56ff4e50","1316.47022412187767975184"
"0xcad13a5bd63214f25d3c169e59e6a4c794f4cc2b","119.47045475703996994329"
"0x89ea9b2f6a6aa88b1bcdab1f95644a1789e49f73","20.20750943401103441615"
"0x7612c0246e0c791bf3ee11405c7c753e0c6218cd","0"
"0x5aaf3d703bb81ff92e6b6254269993bb5bf750fe","5.68619330803860534339"
"0x6fde48f3a9ed340231427413e1d254c5aeaf1e05","0"
"0x6e643c4d5703150c4cf26a3978f79e4412ac5015","3.87963617316402852308"
"0x5580fe3ea765b8ae0c66aa202689f69876db4f96","7.36645553837118913113"
"0xc282f46f6da31e85eb289538432cc98864fae99b","0"
"0xf535995817cf9b45f18e7a58b2095f35e134b6e6","5.6861933080386053435"
"0x9ae7ddc245eb379718662e40446a846cc7e57fc3","0"
"0x5392452fffb4fcc370add4d5c9c7ac2f4248ed10","0"
"0x2082e3bc7c9113742eae4b449207a78846c75f08","0"
"0x606e36e901b4610622dc3009698fd70a2ba1f897","240.05487944498473452564"
"0xb19f158ad7c915c06e9d7cffe86c04f675f9c7ef","65.70827595773909562591"
"0xf0634c4d62521505c7b644e434de937630c3df0a","74.81035574646490228603"
"0xff0fdd5c9c4d987ff1327d624a67f08b97e1b2f4","0"
"0xf3055c295fcbe68c4f7212473c0588e9e383ca88","525.4031010252351837247"
"0x6c2294a78b2200d46d0053468158dae72bb063f0","137.01312953391445733933"
"0x34669dbd67f3a94b862730188280cdea48a2fa7a","20.18324086657563437491"
"0xe2ed6d2904f49d4d020cdfef81f0e3db4ff0d93d","0"
"0xd1a9e05b80051e92cbc02a3fa1cfe051dd0f49b7","0"
"0x4b2cc4cf40373e28be4e02fa8937624d367ce194","21.25085567944996928826"
"0x7bf69ad3ad5e0ccb186c37303eec6574ab600180","184.01255787397482289383"
"0x7781b53931ac470255109aa560cc9453e4097d06","0"
"0x8266ae9e807f5c3743c4008c6c52f0c313794589","2.656139570997335786"
"0x5ec13603c06e32cf768d8f4bcba93c1df2eb4755","5.1032348400275218104"
"0x3214d0f2a27e76f1f810054b2bc05898d2255265","335.02868597798996154741"
"0xb9e47da56c6dc5bef905a981a8d83ca3f6aacb46","0"
"0x9ddcd51bbeb5f2ba4963d2b906074d62039ec3f8","82.4241655390166892197"
"0x5f9e5c7dbf2358522a1c1d9874c9f6921a33dd8c","0"
"0xce722a2c93bb9315572863c140f9739fb44baf59","43.99574210497632441484"
"0x96b50cdc3d792f7bcfa80b93f5bf36792ba94214","0"
"0xe6a8dfaf527f8af8d923ba4dc6826fe9f4755859","239.73023621125518193825"
"0x8a75e9c78f5ad774c33a135f422f8509afa1163f","0"
"0x4806744eccd4fbc05de47eb68c6584da745043d7","9.55637383442602114328"
"0xca4df8f91f57d51f4b7893f0ff95f4de7fd1fa00","2.65613957099733578578"
"0x612a6ceb1cc2a57f879ee808865f867a892d3c9b","0"
"0xb955db051bf09a645c26730752e28f5e3776088f","0"
"0x7cf916f63183f59c716e76f869b01615052b4e85","0"
"0xb19f5c1e30c2a8164fbba5eeea12b475282bc2ea","0"
"0x6272e098b9c4ef23632b014761057759ab5bfd16","0"
"0x8ef914bb653de1620b2562e6e9be6c06828fbeb6","107.94277827084723367728"
"0xab6993107c14dd2121f7bbf12a14900763a3d8d8","55.37098560354374307863"
"0xc36c4e5a64feee1c6f334f26ab39d982033ae18a","0"
"0xe1cb485222845e6ef15756e56bf8abd63ab18507","39.36160067860867032439"
"0xcf92eaa82422f2cb6c3570032e0967abad0dfcdf","0"
"0xb061fecc86cf379d99023d4b5c5485471c1a7bff","2.65613957099733578589"
"0x0722818b181e3830e540f1c0ca0458f175c4d2ec","0"
"0x4d5a13ca7e65f6957694c6da2208b8c41ce21bb7","0"
"0x0cbcbff8b91f1887d812468166924cd82bbf3cca","0"
"0x295207f521aaa09c6321358902f692dd4cc46c9d","55.37098560354374307862"
"0x2a3533f8458ff518b2783e4523b6b0c3453dbe83","73.20131065093224928791"
"0xf729f00ed397dee8aae79d01bba3e2017a0ccd5d","0"
"0x4cc2e5d9c275b74106bd2831782f293652ea533b","0"
"0x888ddd4748558d8075decf2d420b3916de82c755","5.09813160518749428869"
"0xd647d2be9789395e137a2d981e689f24d6d5a360","0"
"0x5919059e230213a931c4b069b5e8b2449ec923cd","5.10323484002752181051"
"0x518bfd06aea647ca24f4dcc0527bba2397d518bc","0"
"0xfded14237b9a73a432520dbd5e7a1df95edf5595","0"
"0x16b00d5f14d5d599a1763eb60a064363bd1a625d","38.73353936656460646312"
"0xdc2892d25cd109f4e9f8ce46d28c15fb1341d55f","0"
"0x63806b3ef8929fb13d94122de710cb6850dffa2a","187.49999999999999999999"
"0x01ebc11995d7e1de23433844f6055d3162124143","2.65613957099733578578"
"0x2b6bd43763391e58286fc9897df22af2a2a5538a","323.07262578721055500994"
"0xc91a92126d8e72c9795595b7e1f37a3047c9609f","0"
"0x6417857e157fe582fe866ed4f6238e2eb16c031b","234.47635567535687238029"
"0xcb0427abc28509f942b115aa22d38730a77c101c","32.76225721291753693329"
"0x8ec3ed91ce9594afdb7c2a8d5729bcfc31424909","48.56217013526042808834"
"0xbdc428c538ae61965cdc0c76f290e5dcd052aea8","267.4132393324703447286"
